% pa1
A a
嘘 xu1
噔 deng1
噗 pu1
噘 jue1
撅 jue1
噙 qin2
㖊 xun2
噛 nie4
咝 si1
噞 yan3
哒 da1
噢 o1
噤 jin4
哝 nong2
哕 hui4,yue3
器 qi4
噩 e4
噪 zao4
噫 yi1
噬 shi4
噭 jiao4
嗳 ai3,ai4
噱 jue2
哙 kuai4
噳 yu3
喷 pen1,pen4
噶 ga2
噷 hen4
吨 dun1
当 dang1,dang4
噻 sai1
噼 pi1
咛 ning2
嚃 ta4
嚄 huo4,o3
嚅 ru2
嚆 hao1
吓 xia4,he4
嚉 duo1
哜 ji4
嚎 hao2
嚏 ti4
嚓 ca1,cha1
嚔 ti4
噜 lu1
嚗 bo2
啮 nie4
嚚 yin2
嚜 me5
嚝 hong1
嚞 zhe2
嚟 li4
呖 li4
咙 long2
嚬 pin2
嚭 pi3
嚯 huo4
嚱 xi1
亸 duo3
喾 ku4
严 yan2
嚵 chan2
嘤 ying1
嚷 rang3
嚼 jiao2
啭 zhuan4
嗫 nie4
嚣 xiao1
冁 chan3
囆 chai4
呓 yi4
啰 luo1,luo5
囊 nang2
苏 su1
囍 xi3
嘱 zhu3
囒 lan2
囔 nang1
囖 luo5
囗 wei2
囘 hui2
因 yin1
囚 qiu2
四 si4
囝 jian3,nan1
回 hui2
囟 xin4
囡 nan1
団 tuan2
囤 dun4,tun2
囥 kang4
囦 yuan1
囧 jiong3
囨 pian1
囱 cong1,chuang1
囫 hu2
囬 hui2
囮 e2
囯 guo2
困 kun4
囲 wei2
図 tu2
囶 guo2
囷 qun1
囸 ri4
囹 ling2
固 gu4
囻 guo2
囿 you4
圀 guo2
圂 hun4
圃 pu3
圄 yu3
囵 lun2
圈 quan1,juan1,juan4
圉 yu3
圊 qing1
国 guo2
圌 chui2
围 wei2
圏 quan1
圐 ku1
园 yuan2
圆 yuan2
圕 tuan1
图 tu2
团 tuan2
圙 lve4
圛 yi4
圜 huan2,yuan2
圞 luan2
土 tu3
圧 ya1
在 zai4
圩 wei2,xu1
圪 ge1
圬 wu1
圭 gui1
圮 pi3
圯 yi2
地 de5,di4
圱 qian1,su2
圳 zhen4
圴 zhuo2
圻 qi2
圾 ji1
址 zhi3
坂 ban3
坆 mei2,fen2
均 jun1
坈 keng1
坊 fang1,fang2
坋 ben4
坌 ben4
坍 tan1
坎 kan3
坐 zuo4
坑 keng1
坒 bi4
坓 jing3
坕 jing1
坡 po1
坤 kun1
坦 tan3
坨 tuo2
坩 gan1
坪 ping2
坫 dian4
坭 ni2
坯 pi1
